Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
default,135,2.20,1.47,3.14
default,136,2.52,1.59,4.83
default,137,2.79,1.55,4.76
default,138,2.85,1.60,5.15
default,139,2.65,1.50,4.40
default,140,2.91,1.49,5.10
default,141,2.69,1.46,4.43
default,142,2.47,1.31,4.35
default,143,2.31,0.86,4.37
default,144,2.73,1.04,6.07
default,145,3.05,1.23,6.22
default,146,2.92,1.00,6.05
default,147,2.81,0.97,5.97
default,148,3.13,0.97,6.65
default,149,3.08,0.97,6.37
default,150,3.82,0.96,7.39
default,151,3.51,0.99,6.41
default,152,3.21,0.88,7.26
default,153,3.10,0.89,6.50
default,154,3.47,0.96,7.19
default,155,3.33,0.80,6.69
default,156,3.51,0.77,7.65
default,157,3.65,0.67,7.93
default,158,4.03,0.77,8.30
default,159,4.37,0.67,8.55
default,160,5.11,1.12,11.05
default,161,4.66,1.61,8.13
default,162,4.71,1.69,7.92
default,163,5.43,1.66,8.57
default,164,5.54,1.63,9.34
default,165,6.02,1.66,9.66
default,166,5.77,1.64,9.61
default,167,6.00,1.61,10.19
default,168,6.32,1.64,11.90
default,169,6.33,1.64,10.69
default,170,6.48,1.65,11.37
default,171,6.64,1.69,11.78
default,172,6.66,1.68,12.55
default,173,6.89,1.67,12.18
default,174,6.83,1.74,12.54
default,175,6.76,1.75,11.93
default,176,4.52,0.97,11.37
default,177,4.79,1.20,10.95
default,178,4.96,1.21,11.36
default,179,5.46,1.69,12.11
default,180,5.17,1.02,13.29
default,181,5.17,1.08,11.96
default,182,5.41,0.97,13.75
default,183,5.74,1.49,13.50
default,184,5.35,0.65,14.58
default,185,5.44,0.86,13.23
default,186,6.32,1.23,15.82
default,187,6.27,1.19,15.18
default,188,5.66,0.54,14.70
default,189,5.91,0.73,15.55
default,190,5.86,0.52,16.73
default,191,5.83,0.69,16.09
default,192,5.50,0.43,19.04
default,193,6.15,0.61,18.99
default,194,5.98,0.53,18.28
default,195,6.30,0.61,19.65
default,196,6.67,0.49,21.76
default,197,7.28,0.85,21.15
default,198,7.27,0.46,22.82
default,199,7.50,0.64,23.85
default,200,7.92,0.46,25.70
default,201,7.97,0.60,24.44
default,202,8.27,0.58,24.46
default,203,8.64,0.79,25.09
default,204,9.06,0.55,25.90
default,205,9.17,0.53,26.28
default,206,9.30,0.57,25.85
default,207,9.08,0.68,25.59
default,208,9.51,0.87,27.30
default,209,9.40,0.61,26.20
default,210,10.19,0.57,27.36
default,211,10.02,0.66,27.12
default,212,10.20,0.41,27.98
default,213,10.85,0.67,28.44
default,214,10.82,0.49,27.85
default,215,10.55,0.58,27.38
default,216,11.00,0.49,28.97
default,217,11.21,0.72,28.02
default,218,11.58,0.70,29.07
default,219,11.47,0.93,28.41
default,220,11.29,0.65,28.28
default,221,11.07,0.91,27.71
default,222,11.02,0.70,27.81
default,223,10.22,0.77,27.80
default,224,8.05,0.23,25.89
default,225,8.48,0.26,26.87
default,226,8.89,0.32,27.19
default,227,9.22,0.48,27.48
default,228,9.21,0.38,27.90
default,229,9.44,0.35,27.55
default,230,9.54,0.30,27.45
default,231,9.79,0.49,28.70
default,232,10.07,0.35,29.06
default,233,10.40,0.44,31.17
default,234,10.31,0.37,30.99
default,235,10.17,0.42,31.01
default,236,10.98,0.28,32.55
default,237,10.66,0.36,31.82
default,238,10.96,0.28,31.96
default,239,11.24,0.38,33.06
default,240,11.34,0.27,33.05
default,241,11.83,0.46,33.59
default,242,11.99,0.34,33.28
default,243,12.34,0.34,33.90
default,244,13.03,0.50,35.24
default,245,13.04,0.32,34.23
default,246,12.96,0.25,34.47
default,247,13.80,0.62,36.11
default,248,13.47,0.25,35.57
default,249,14.34,0.39,36.18
default,250,14.37,0.46,36.60
default,251,14.77,0.33,36.85
default,252,15.99,0.65,38.81
default,253,15.35,0.29,36.79
default,254,16.20,0.42,36.87
default,255,17.07,0.28,37.68
default,256,0.99,0.42,2.16
